,Title,Release Year,Locations,Director,Actor 1
1051,Looking Season 2 ep 202,2015,1400 16th Street,Andrew Haigh,Jonathan Groff
1052,Looking Season 2 ep 202,2015,770 Haight Street,Andrew Haigh,Jonathan Groff
1053,Summertime,2015,Stanyan & Belgrave,Gabriele Muccino,Jessica Rothe
1054,Summertime,2015,Sansome (Washington to Bush) Pine (Davis to Kearny) Bush: Kearny to Battery,Gabriele Muccino,Jessica Rothe
1055,Americana,2015,Variety Preview Room (582 Market St.),Zachary Shedd,Kelli Garner
1056,Sense8,2015,Grand View Ave.,The Wachowskis,Jamie Clayton
1057,Summertime,2015,Buena Vista East & Duboce; Buena Vista East & Haight,Gabriele Muccino,Jessica Rothe
1058,San Andreas,2015,Hyde St. at Greenwich and Hyde St. at Lombard,Brad Peyton,Dwayne Johnson
1059,Sense8,2015,18th Street between Guerrero and Valencia Streets,The Wachowskis,Jamie Clayton
1060,Cardinal X,2015,100 Alemany Blvd.,Annie Wang,Annie Q
1061,"Smile Again, Jenny Lee",2015,333 Pacheco St at Lopez Ave.,Carlo Caldana,Craig Tsuyumine
1062,Ant-Man,2015,Grant between Bush and Broadway,Peyton Reed,Michael Douglas
1063,Looking Season 2 ep 207,2015,770 Haight Street,Andrew Haigh,Jonathan Groff
1064,Sense8,2015,"Atlas Café, 3049 20th St.",The Wachowskis,Jamie Clayton
1065,"Murder in the First, Season 2",2015,Grant Avenue between Clay and Washington Streets,Steven Bochcho,Taye Diggs
1066,Summertime,2015,Turk St between Lyon and Baker St,Gabriele Muccino,Jessica Rothe
1067,Age of Adaline,2015,Pier 50- end of the pier,Lee Toland Krieger,Blake Lively
1068,Looking Season 2 ep 208,2015,2450 Harrison Street,Andrew Haigh,Jonathan Groff
1069,Americana,2015,33 Spruce St,Zachary Shedd,Kelli Garner
1070,Cardinal X,2015,812 22nd St. and Tennessee,Annie Wang,Annie Q
1071,Ant-Man,2015,Pine between Kearney and Davis,Peyton Reed,Michael Douglas
1072,Looking Season 2 ep 205,2015,745 Treat Ave,Andrew Haigh,Jonathan Groff
1073,Steve Jobs,2015,Mission St and 5th St,Danny Boyle,Michael Fassbender
1074,Quitters,2015,24 Hill St.,Noah Pritzker,Kara Hayward
1075,Looking Season 2 ep 204,2015,970 Geary Street,Andrew Haigh,Jonathan Groff
1076,Ant-Man,2015,Intersection of California at Polk,Peyton Reed,Michael Douglas
1077,Looking Season 2 ep 209,2015,"Tonga Room, Fairmont Hotel, 950 Mason Street",Andrew Haigh,Jonathan Groff
1078,Age of Adaline,2015,California @ Montgomery,Lee Toland Krieger,Blake Lively
1079,Sense8,2015,20th,The Wachowskis,Jamie Clayton
1080,"Smile Again, Jenny Lee",2015,2100 Pacific Ave at Laguna St,Carlo Caldana,Craig Tsuyumine
1081,"Smile Again, Jenny Lee",2015,Greenwich St at Battery St,Carlo Caldana,Craig Tsuyumine
1082,Looking Season 2 ep 208,2015,1111 California Street,Andrew Haigh,Jonathan Groff
1083,Terminator - Genisys,2015,California at Larkin,Alan Taylor,Arnold Schwarzenegger
1084,"Smile Again, Jenny Lee",2015,"Huntington Park (California & Taylor Streets, Nob Hill)",Carlo Caldana,Craig Tsuyumine
1085,Sense8,2015,"""Metzger's Apt"" 151 Alice B. Toklas Pl.",The Wachowskis,Jamie Clayton
1086,Looking Season 2 ep 209,2015,68 Division Street,Andrew Haigh,Jonathan Groff
1087,Looking Season 2 ep 206,2015,770 Haight Street,Andrew Haigh,Jonathan Groff
1088,Quitters,2015,Claire Lilienthal Elementary School,Noah Pritzker,Kara Hayward
1089,Quitters,2015,1536 Noe St.,Noah Pritzker,Kara Hayward
1090,Looking Season 2 ep 204,2015,"Dolores Park, San Francisco",Andrew Haigh,Jonathan Groff
1091,San Andreas,2015,2nd St. at Townsend St.,Brad Peyton,Dwayne Johnson
1092,Terminator - Genisys,2015,1 Market St. Landmark Building,Alan Taylor,Arnold Schwarzenegger
1093,"Smile Again, Jenny Lee",2015,Europa Café (4318 California St. and 5th Ave.),Carlo Caldana,Craig Tsuyumine
1094,Sense8,2015,Market St. overpass,The Wachowskis,Jamie Clayton
1095,I Am Michael,2015,Flint & 16th (Castro),Justin Kelly,James Franco
1096,Terminator - Genisys,2015,Pier 14,Alan Taylor,Arnold Schwarzenegger
1097,Sense8,2015,Folsom,The Wachowskis,Jamie Clayton
1098,"Smile Again, Jenny Lee",2015,510 Noe Street & 18th St.,Carlo Caldana,Craig Tsuyumine
1099,Sense8,2015,Vallejo Street Garage; 766 Vallejo St.,The Wachowskis,Jamie Clayton
1100,Looking Season 2 ep 202,2015,Eddy @ Polk Street,Andrew Haigh,Jonathan Groff
1101,Steve Jobs,2015,California St. from Jones St. to Mason St.,Danny Boyle,Michael Fassbender
1102,Looking Season 2 ep 202,2015,901 Valencia Street,Andrew Haigh,Jonathan Groff
1103,Quitters,2015,Tonga Room,Noah Pritzker,Kara Hayward
1104,Summertime,2015,Alamo Square,Gabriele Muccino,Jessica Rothe
1105,"Smile Again, Jenny Lee",2015,Mason & Sacramento St,Carlo Caldana,Craig Tsuyumine
1106,Looking Season 2 ep 203,2015,"Willy's Barber shop, 3227 22nd Street",Andrew Haigh,Jonathan Groff
1107,Looking Season 2 ep 210,2015,SF City Hall Polk Street Steps,Andrew Haigh,Jonathan Groff
1108,The Diary of a Teenage Girl,2015,SPECS' Twelve Adler Museum Café,Marielle Heller,Alexander Skarsgard
1109,Looking Season 2 ep 209,2015,"Muddy Waters, 521 Valencia Street",Andrew Haigh,Jonathan Groff
1110,"Murder in the First, Season 2",2015,Embarcadero Street at Washington Street,Steven Bochcho,Taye Diggs
1111,The Diary of a Teenage Girl,2015,304 Lily St.,Marielle Heller,Alexander Skarsgard
1112,The Diary of a Teenage Girl,2015,Ocean Beach at Point Lobos,Marielle Heller,Alexander Skarsgard
1113,"Murder in the First, Season 2",2015,435 Broadway,Steven Bochcho,Taye Diggs
1114,San Andreas,2015,Water work in SF Bay,Brad Peyton,Dwayne Johnson
1115,Steve Jobs,2015,Jackson St. from Mason St. to Powell St.,Danny Boyle,Michael Fassbender
1116,Americana,2015,Bernal Heights Park,Zachary Shedd,Kelli Garner
1117,"Smile Again, Jenny Lee",2015,475 Diamond St.,Carlo Caldana,Craig Tsuyumine
1118,Terminator - Genisys,2015,San Francisco - Oakland Bay Bridge,Alan Taylor,Arnold Schwarzenegger
1119,Looking Season 2 ep 204,2015,"Urban Flowers, 4029 18th Street",Andrew Haigh,Jonathan Groff
1120,Quitters,2015,Yerba Buena Gardens,Noah Pritzker,Kara Hayward
1121,San Andreas,2015,Fort Baker,Brad Peyton,Dwayne Johnson
1122,San Andreas,2015,Jefferson St. at Powell St.,Brad Peyton,Dwayne Johnson
1123,Looking Season 2 ep 205,2015,1119 Alabama Street,Andrew Haigh,Jonathan Groff
1124,Age of Adaline,2015,Driving various SF Streets,Lee Toland Krieger,Blake Lively
1125,Steve Jobs,2015,Intersection of Columbus and Kearny,Danny Boyle,Michael Fassbender
1126,"Smile Again, Jenny Lee",2015,City Hall,Carlo Caldana,Craig Tsuyumine
1127,San Andreas,2015,TransAmerica Pyramid (600 Montgomery Street),Brad Peyton,Dwayne Johnson
1128,San Andreas,2015,Mission between 3rd and 4th St.,Brad Peyton,Dwayne Johnson
1129,Looking Season 2 ep 210,2015,"Willy's Barber shop, 3227 22nd Street",Andrew Haigh,Jonathan Groff
1130,Looking Season 2 ep 210,2015,Mission Street @ 22nd Street,Andrew Haigh,Jonathan Groff
1131,Sense8,2015,22nd St.,The Wachowskis,Jamie Clayton
1132,Terminator - Genisys,2015,Construction Site in front of 260 Stockton St. at Post St.,Alan Taylor,Arnold Schwarzenegger
1133,Sense8,2015,"Dolores Park, 20th St. between Church & Dolores St.",The Wachowskis,Jamie Clayton
1134,"Smile Again, Jenny Lee",2015,Gaspare's Pizza House (5546 Geary Blvd.),Carlo Caldana,Craig Tsuyumine
1135,"Murder in the First, Season 2",2015,Potrero Hill Recreation Center (801 Arkansas Street),Steven Bochcho,Taye Diggs
1136,Ant-Man,2015,601 Buena Vista Ave West at Java St.,Peyton Reed,Michael Douglas
1137,Terminator - Genisys,2015,Market at Mason,Alan Taylor,Arnold Schwarzenegger
1138,Americana,2015,Foreign Cinema (2534 Mission),Zachary Shedd,Kelli Garner
1139,"Smile Again, Jenny Lee",2015,1328 Portola,Carlo Caldana,Craig Tsuyumine
1140,Terminator - Genisys,2015,Embarcadero between Pier 2 and Harrison,Alan Taylor,Arnold Schwarzenegger
1141,Sense8,2015,Corbett St.,The Wachowskis,Jamie Clayton
1142,Ant-Man,2015,Intersection of Broadway at Kearney,Peyton Reed,Michael Douglas
1143,Looking Season 2 ep 204,2015,"Esta Noche, 3079 16th Street",Andrew Haigh,Jonathan Groff
1144,Cardinal X,2015,3639 Taraval St,Annie Wang,Annie Q
1145,"Murder in the First, Season 2",2015,Columbus Avenue between Washington and Bay Streets,Steven Bochcho,Taye Diggs
1146,The Diary of a Teenage Girl,2015,770 Haight St.,Marielle Heller,Alexander Skarsgard
1147,Looking Season 2 ep 204,2015,3650 21st Street,Andrew Haigh,Jonathan Groff
1148,Looking Season 2 ep 210,2015,"Vega Coffee, 1245 Folsom Street",Andrew Haigh,Jonathan Groff
1149,Terminator - Genisys,2015,Mission at 1st and 2nd,Alan Taylor,Arnold Schwarzenegger
1150,Looking Season 2 ep 204,2015,1890 Clay Street,Andrew Haigh,Jonathan Groff
1151,Americana,2015,Coi Restaurant (373 Broadway),Zachary Shedd,Kelli Garner
1152,Looking Season 2 ep 202,2015,601 Buena Vista Ave West,Andrew Haigh,Jonathan Groff
1153,Sense8,2015,S. Van Ness,The Wachowskis,Jamie Clayton
1154,The Diary of a Teenage Girl,2015,Geary St. from Polk to Larkin,Marielle Heller,Alexander Skarsgard
1155,Sense8,2015,Van Ness and 12th St.,The Wachowskis,Jamie Clayton
1156,I Am Michael,2015,"Grove & Polk, thru Fulton & 6th, Masonic, 28th & 47th",Justin Kelly,James Franco
1157,Looking Season 2 ep 202,2015,651 Brannan Street,Andrew Haigh,Jonathan Groff
1158,Looking Season 2 ep 202,2015,1246 Folsom Street,Andrew Haigh,Jonathan Groff
1159,Terminator - Genisys,2015,California at Jones,Alan Taylor,Arnold Schwarzenegger
1160,Looking Season 2 ep 206,2015,745 Treat Ave.,Andrew Haigh,Jonathan Groff
1161,The Diary of a Teenage Girl,2015,Yerba Buena Island,Marielle Heller,Alexander Skarsgard
1162,Quitters,2015,Wine Impression,Noah Pritzker,Kara Hayward
1163,San Andreas,2015,Bay St. at Polk,Brad Peyton,Dwayne Johnson
1164,Looking Season 2 ep 205,2015,160 Church Street,Andrew Haigh,Jonathan Groff
1165,Looking Season 2 ep 203,2015,"Mission Rec Center, 2450 Harrison Street",Andrew Haigh,Jonathan Groff
1166,Steve Jobs,2015,Powell St. from California St. to Sutter St.,Danny Boyle,Michael Fassbender
1167,Cardinal X,2015,1458 33rd Ave.,Annie Wang,Annie Q
1168,The Diary of a Teenage Girl,2015,Hamburger Haven,Marielle Heller,Alexander Skarsgard
1169,The Diary of a Teenage Girl,2015,Tank Hill Park,Marielle Heller,Alexander Skarsgard
1170,"Smile Again, Jenny Lee",2015,87 Cervantes Blvd (beach),Carlo Caldana,Craig Tsuyumine
1171,Steve Jobs,2015,Davies Symphony Hall (201 Van Ness Ave.),Danny Boyle,Michael Fassbender
1172,Looking Season 2 ep 207,2015,"Valenti, Marini, Perata, 4840 Mission Street",Andrew Haigh,Jonathan Groff
1173,Terminator - Genisys,2015,Van Ness between Fell and Lombard,Alan Taylor,Arnold Schwarzenegger
1174,Looking Season 2 ep 210,2015,8 Octavia Street,Andrew Haigh,Jonathan Groff
1175,I Am Michael,2015,F Train,Justin Kelly,James Franco
1176,San Andreas,2015,Grant between Bush and Market,Brad Peyton,Dwayne Johnson
1177,Sense8,2015,375 Castro St. and 17th between Castro and Diamond St.,The Wachowskis,Jamie Clayton
1178,San Andreas,2015,Battery Spencer,Brad Peyton,Dwayne Johnson
1179,Ant-Man,2015,Columbus between Bay and Washington,Peyton Reed,Michael Douglas
1180,Quitters,2015,Geary from 22nd Ave to Arguello,Noah Pritzker,Kara Hayward
1181,Sense8,2015,16th St.,The Wachowskis,Jamie Clayton
1182,San Andreas,2015,"Asia Star Fantasy, 1126 Grant Ave.",Brad Peyton,Dwayne Johnson
1183,"Smile Again, Jenny Lee",2015,Montgomery Street at Post Street,Carlo Caldana,Craig Tsuyumine
1184,Summertime,2015,Fisherman's Wharf pier near Chapel (Port Walk #19),Gabriele Muccino,Jessica Rothe
1185,Looking Season 2 ep 204,2015,Castro Street @ 18th street,Andrew Haigh,Jonathan Groff
1186,Summertime,2015,Montgomery between California and Pine,Gabriele Muccino,Jessica Rothe
1187,Ant-Man,2015,Conzelman Rd at McCollough Rd and down Conzelman Rd.,Peyton Reed,Michael Douglas
1188,Terminator - Genisys,2015,Pine and Leavenworth,Alan Taylor,Arnold Schwarzenegger
1189,Looking Season 2 ep 202,2015,Church @ Duboce Street,Andrew Haigh,Jonathan Groff
1190,Looking Season 2 ep 204,2015,601 Buena Vista Ave West,Andrew Haigh,Jonathan Groff
1191,Cardinal X,2015,1465 Revere Avenue between Keith and Jennings,Annie Wang,Annie Q
1192,Sense8,2015,Romain St.,The Wachowskis,Jamie Clayton
1193,Looking Season 2 ep 204,2015,"Bi-Rite Creamery, 3692 18th Stret",Andrew Haigh,Jonathan Groff
1194,Looking Season 2 ep 206,2015,1890 Clay Street,Andrew Haigh,Jonathan Groff
1195,Looking Season 2 ep 210,2015,BART Station @ 16th Street & Mission Streets,Andrew Haigh,Jonathan Groff
1196,Ant-Man,2015,Market between Stuart and Van Ness,Peyton Reed,Michael Douglas
1197,Looking Season 2 ep 209,2015,"SF Zoo, 2945 Sloat Blvd",Andrew Haigh,Jonathan Groff
1198,Summertime,2015,Love Street Vintage (1506 Haight & adjacent Haight sidewalk_,Gabriele Muccino,Jessica Rothe
1199,"Murder in the First, Season 2",2015,372/374 Pennsylvania Avenue,Steven Bochcho,Taye Diggs
1200,"Smile Again, Jenny Lee",2015,883 42nd Ave.,Carlo Caldana,Craig Tsuyumine
1201,Terminator - Genisys,2015,California between Leavenworth and Powell,Alan Taylor,Arnold Schwarzenegger
1202,Age of Adaline,2015,Montgomery/Green,Lee Toland Krieger,Blake Lively
1203,"Smile Again, Jenny Lee",2015,Ocean Beach Motel (2690 46th Ave.),Carlo Caldana,Craig Tsuyumine
1204,Sense8,2015,Z Space Studios; 450 Florida St.,The Wachowskis,Jamie Clayton
1205,Looking Season 2 ep 204,2015,534 Hyde Street,Andrew Haigh,Jonathan Groff
1206,Quitters,2015,McLaren Lodge,Noah Pritzker,Kara Hayward
1207,Americana,2015,John Shelley Drive John McLaren Park,Zachary Shedd,Kelli Garner
1208,"Murder in the First, Season 2",2015,Pennsylvania Avenue at 19th Street,Steven Bochcho,Taye Diggs
1209,Sense8,2015,Palace of Fine Arts: 3306 Lyon St.,The Wachowskis,Jamie Clayton
1210,Ant-Man,2015,"Treasure Island, Building #1, Ave of the Palms",Peyton Reed,Michael Douglas
1211,Summertime,2015,Broadway and Taylor St Intersection,Gabriele Muccino,Jessica Rothe
1212,"Murder in the First, Season 2",2015,1243 19th Street,Steven Bochcho,Taye Diggs
1213,San Andreas,2015,Intersection of Lombard and Hyde,Brad Peyton,Dwayne Johnson
1214,"Smile Again, Jenny Lee",2015,Hyatt Hotel (555 North Point St.),Carlo Caldana,Craig Tsuyumine
1215,Terminator - Genisys,2015,Pine St. between Market and Montgomery,Alan Taylor,Arnold Schwarzenegger
1216,San Andreas,2015,AT&T Stadium,Brad Peyton,Dwayne Johnson
1217,I Am Michael,2015,Harvey Milk Plaza,Justin Kelly,James Franco
1218,Americana,2015,Laguna Honda Hospital; 375 Laguna Honda Blvd.,Zachary Shedd,Kelli Garner
1219,Quitters,2015,Clement St. from 5th and 7th Ave.,Noah Pritzker,Kara Hayward
1220,Summertime,2015,20th St and Church (3885 20th St),Gabriele Muccino,Jessica Rothe
1221,"Murder in the First, Season 2",2015,1400 16th Street,Steven Bochcho,Taye Diggs
1222,Looking Season 2 ep 208,2015,1246 Folsom Street,Andrew Haigh,Jonathan Groff
1223,Looking Season 2 ep 203,2015,"Doc's Clock, 2575 Misison Street",Andrew Haigh,Jonathan Groff
1224,Looking Season 2 ep 209,2015,1246 Folsom Street,Andrew Haigh,Jonathan Groff
1225,Americana,2015,3232 Jackson Ave.,Zachary Shedd,Kelli Garner
1226,"Smile Again, Jenny Lee",2015,Unitarian Church (1187 Franklin St.),Carlo Caldana,Craig Tsuyumine
1227,Ant-Man,2015,Lombard at Hyde,Peyton Reed,Michael Douglas
1228,Cardinal X,2015,119 Utah,Annie Wang,Annie Q
1229,Looking Season 2 ep 202,2015,314 11th Street,Andrew Haigh,Jonathan Groff
1230,Looking Season 2 ep 205,2015,"Always Open Car Wash, 2560 Marin Street",Andrew Haigh,Jonathan Groff
1231,San Andreas,2015,AT&T Stadium,Brad Peyton,Dwayne Johnson
1232,Steve Jobs,2015,21st and Collingswood St.,Danny Boyle,Michael Fassbender
1233,"Murder in the First, Season 2",2015,Boardman Place between Bryant and Brannan Streets,Steven Bochcho,Taye Diggs
1234,San Andreas,2015,Coit Tower,Brad Peyton,Dwayne Johnson
1235,Quitters,2015,Clement St. from 6th to 7th Ave.,Noah Pritzker,Kara Hayward
1236,Looking Season 2 ep 210,2015,"Mission Rec Center, 2450 Harrison Street",Andrew Haigh,Jonathan Groff
1237,The Diary of a Teenage Girl,2015,The Royal Oak,Marielle Heller,Alexander Skarsgard
1238,Looking Season 2 ep 203,2015,"Mad Dog Bar, 530 Haight Street",Andrew Haigh,Jonathan Groff
1239,"Smile Again, Jenny Lee",2015,New Taraval Café (1054 Taraval St.),Carlo Caldana,Craig Tsuyumine
1240,Quitters,2015,Tank Hill Park,Noah Pritzker,Kara Hayward
1241,"Murder in the First, Season 2",2015,Pier 50,Steven Bochcho,Taye Diggs
1242,Looking Season 2 ep 209,2015,1890 Clay Street,Andrew Haigh,Jonathan Groff
1243,San Andreas,2015,"Stage Work, 47 Julian St.",Brad Peyton,Dwayne Johnson
1244,Cardinal X,2015,420 Mason St.,Annie Wang,Annie Q
1245,Americana,2015,St. Francis Episcopal Church (399 San Fernando Way),Zachary Shedd,Kelli Garner
1246,Terminator - Genisys,2015,Sutter Stockton Garage,Alan Taylor,Arnold Schwarzenegger
1247,Americana,2015,Romolo Place @ Fresno St.,Zachary Shedd,Kelli Garner
1248,"Smile Again, Jenny Lee",2015,Mission Inn (5630 Mission St),Carlo Caldana,Craig Tsuyumine
1249,"Murder in the First, Season 2",2015,1059 Texas Street,Steven Bochcho,Taye Diggs
1250,Sense8,2015,Clarion Alley between Valencia & Mission St.,The Wachowskis,Jamie Clayton
1251,San Andreas,2015,Washington Square,Brad Peyton,Dwayne Johnson
1252,Looking Season 2 ep 203,2015,"Boxer Stadium, 166 Havelock Street",Andrew Haigh,Jonathan Groff
1253,Looking Season 2 ep 203,2015,770 Haight Street,Andrew Haigh,Jonathan Groff
1254,Looking Season 2 ep 204,2015,"Daniel's Pharmacy, 943 Geneva Ave.",Andrew Haigh,Jonathan Groff
1255,Summertime,2015,Oasis Nightclub (298 11th St),Gabriele Muccino,Jessica Rothe
1256,Sense8,2015,Harrison & 20th,The Wachowskis,Jamie Clayton
1257,"Smile Again, Jenny Lee",2015,Clay St. at Sansome,Carlo Caldana,Craig Tsuyumine
1258,San Andreas,2015,Vallejo Garage Roof (Vallejo at Powell),Brad Peyton,Dwayne Johnson
1259,Steve Jobs,2015,Sutter-Stockton Garage (444  Stockton),Danny Boyle,Michael Fassbender
1260,Looking Season 2 ep 202,2015,100 Church Street,Andrew Haigh,Jonathan Groff
1261,Sense8,2015,Laguna Honda Hospital; 375 Laguna Honda Blvd.,The Wachowskis,Jamie Clayton
1262,Cardinal X,2015,1601 Lane St.,Annie Wang,Annie Q
1263,Terminator - Genisys,2015,"Mission St., Embarcadero, and Front between Clay and Market",Alan Taylor,Arnold Schwarzenegger
1264,Terminator - Genisys,2015,Market St. at Embarcadero area,Alan Taylor,Arnold Schwarzenegger
1265,Americana,2015,Jackson St. at Spruce,Zachary Shedd,Kelli Garner
1266,Quitters,2015,923 Vermont St.,Noah Pritzker,Kara Hayward
1267,Quitters,2015,4015 21st St,Noah Pritzker,Kara Hayward
1268,Looking Season 2 ep 209,2015,8 Octavia Street,Andrew Haigh,Jonathan Groff
1269,The Diary of a Teenage Girl,2015,The Magazine at 920 Larkin,Marielle Heller,Alexander Skarsgard
1270,The Diary of a Teenage Girl,2015,Victoria Theatre,Marielle Heller,Alexander Skarsgard
1271,Sense8,2015,Irving St. at 9th Ave.,The Wachowskis,Jamie Clayton
1272,Birth of the Dragon,2016,Leavenworth at Green,George Nolfi,Philip Ng
1273,"Murder in the First, Season 3",2016,535 Octavia Street,Steven Bochcho,Taye Diggs
1274,Chance- Season 1 ep103,2016,350 Santa Ana Ave.,Michael Lehmann,Hugh Laurie
1275,"Murder in the First, Season 3",2016,887 De Haro Street,Steven Bochcho,Taye Diggs
1276,Chance- Season 1 ep110,2016,1901 Ocean Ave. at Ashton Ave.,Alexandra Cunningham and Kem Nunn,Hugh Laurie
1277,Chance - Season 1ep105,2016,Private alley along 20th St. between Tennessee and Minnesota,Victoria Morrow,Hugh Laurie
1278,Chance- Season 1 ep103,2016,Forrest Hill Muni Station,Michael Lehmann,Hugh Laurie
1279,Chance - Season 1 Pilot,2016,60 Leavenworth St.,Lenny Abrahamson,Hugh Laurie
1280,Chance- Season 1 ep102,2016,"Duboce St., Duboce Café",Lenny Abrahamson,Hugh Laurie
1281,Birth of the Dragon,2016,Grant between Bush and Broadway,George Nolfi,Philip Ng
1282,Chance- Season 1 ep108,2016,Fairmont Hotel,Peter Elkoff and Victoria Morrow,Hugh Laurie
1283,Pushing Dead,2016,Hayes Street between Ashbury and Shrader,Tom Brown,Danny Glover
1284,Pushing Dead,2016,5th Ave @ Fulton Street in Golden Gate Park,Tom Brown,Danny Glover
1285,"Looking ""Special""",2016,"Philz Coffee, 1258 Minnesota Street",Andrew Haigh,Jonathan Groff
1286,"Murder in the First, Season 3",2016,Red's Java House (Pier 30),Steven Bochcho,Taye Diggs
1287,Sense8 - Season 2,2016,"Julia Morgan Ballroom at the Merchant's Exchange Building, 465 California St.",Wachowski Siblings,Jamie Clayton
1288,Chance- Season 1 ep104,2016,200 Kansas St.,Carl Franklin,Hugh Laurie
1289,"Looking ""Special""",2016,Grant Avenue between Sacramento and Washington,Andrew Haigh,Jonathan Groff
1290,Birth of the Dragon,2016,Waverly Pl between Washington and Sacramento,George Nolfi,Philip Ng
1291,Chance - Season 1 Pilot,2016,Antonio Alley,Lenny Abrahamson,Hugh Laurie
1292,Pushing Dead,2016,Turk Street between Steiner and Scott Streets,Tom Brown,Danny Glover
1293,Birth of the Dragon,2016,California at Grant,George Nolfi,Philip Ng
1294,Chance - Season 1 Pilot,2016,"Warren's Antiques, 375 9th St.",Lenny Abrahamson,Hugh Laurie
1295,Pushing Dead,2016,"Matching Half Café, 1799 McAllister Street",Tom Brown,Danny Glover
1296,Pushing Dead,2016,"Ele Nino Traiing Cetner, 2920 3rd Street",Tom Brown,Danny Glover
1297,Chance- Season 1 ep102,2016,John St. between Powell and Mason,Lenny Abrahamson,Hugh Laurie
1298,Pushing Dead,2016,"Uva Enoteca, 568 Haight Street",Tom Brown,Danny Glover
1299,Chance- Season 1 ep107,2016,1958 Valencia St.,Alexandra Cunningham and Kem Nunn,Hugh Laurie
1300,Pushing Dead,2016,2930 3rd Street,Tom Brown,Danny Glover
1301,Sense8 - Season 2,2016,"City Lights Bookstore, 261 Columbus Ave.",Wachowski Siblings,Jamie Clayton
1302,Chance - Season 1 Pilot,2016,"Ellis Food Center, 398 Ellis",Lenny Abrahamson,Hugh Laurie
1303,Chance - Season 1 Pilot,2016,66 Potomac,Lenny Abrahamson,Hugh Laurie
1304,Chance- Season 1 ep103,2016,60 Potomac,Michael Lehmann,Hugh Laurie
1305,Chance- Season 1 ep104,2016,11 San Jacinto Ave.,Carl Franklin,Hugh Laurie
1306,Pushing Dead,2016,Church Street MUNI Station,Tom Brown,Danny Glover
1307,"Looking ""Special""",2016,Van Ness and Market Street MUNI exit,Andrew Haigh,Jonathan Groff
1308,Sense8 - Season 2,2016,Filbert between Hyde and Jones,Wachowski Siblings,Jamie Clayton
1309,Sense8 - Season 2,2016,"The Women's Building, 3543 18th St.",Wachowski Siblings,Jamie Clayton
1310,Chance - Season 1 Pilot,2016,940 Powell St.,Lenny Abrahamson,Hugh Laurie
1311,Sense8 - Season 2,2016,Green between Kearny and Montgomery,Wachowski Siblings,Jamie Clayton
1312,"Murder in the First, Season 3",2016,Pier 96,Steven Bochcho,Taye Diggs
1313,Pushing Dead,2016,"Blind Cat, 3050 24th Street, San Francisco",Tom Brown,Danny Glover
1314,Sense8 - Season 2,2016,Clay between Stockton and Grant,Wachowski Siblings,Jamie Clayton
1315,Chance- Season 1 ep106,2016,Grant between Union and Green,Sara Gran,Hugh Laurie
1316,Chance- Season 1 ep109,2016,850 Bryant- 6th floor County Jail,Sara Gran and Pete Begler,Hugh Laurie
1317,"Murder in the First, Season 3",2016,Golden Gate Park,Steven Bochcho,Taye Diggs
1318,Chance- Season 1 ep103,2016,60 Leavenworth St.,Michael Lehmann,Hugh Laurie
1319,Chance- Season 1 ep102,2016,"Sutter Stockton Garage, 444 Stockton",Lenny Abrahamson,Hugh Laurie
1320,Birth of the Dragon,2016,California at Mason,George Nolfi,Philip Ng
1321,Pushing Dead,2016,42 Walter Street,Tom Brown,Danny Glover
1322,Chance- Season 1 ep102,2016,Potomac and Waller,Lenny Abrahamson,Hugh Laurie
1323,Birth of the Dragon,2016,Spofford between Clay and Washington,George Nolfi,Philip Ng
1324,Chance- Season 1 ep110,2016,18 Urbano,Alexandra Cunningham and Kem Nunn,Hugh Laurie
1325,Sense8 - Season 2,2016,"Billy Goat Hill, Castro St. & 30th St.",Wachowski Siblings,Jamie Clayton
1326,Chance - Season 1 ep105,2016,60 Leavenworth St.,Victoria Morrow,Hugh Laurie
1327,Sense8 - Season 2,2016,67-69 Deming St.,Wachowski Siblings,Jamie Clayton
1328,Chance - Season 1 Pilot,2016,Washington Square Park,Lenny Abrahamson,Hugh Laurie
1329,"Murder in the First, Season 3",2016,Harriet Alley,Steven Bochcho,Taye Diggs
1330,Chance- Season 1 ep103,2016,"The Drew School, 2901 California",Michael Lehmann,Hugh Laurie
1331,Chance- Season 1 ep109,2016,Terry A. Francois Blvd.,Sara Gran and Pete Begler,Hugh Laurie
1332,Chance - Season 1 Pilot,2016,UN Plaza/ Civic Center Bart steps,Lenny Abrahamson,Hugh Laurie
1333,Chance- Season 1 ep106,2016,2 Rowland,Sara Gran,Hugh Laurie
1334,Chance- Season 1 ep104,2016,1018 Tennessee St.,Carl Franklin,Hugh Laurie
1335,Chance - Season 1 Pilot,2016,"William Stout Architectural Books, 804 Montgomery St.",Lenny Abrahamson,Hugh Laurie
1336,Chance- Season 1 ep104,2016,901/909Tennessee St.,Carl Franklin,Hugh Laurie
1337,"Looking ""Special""",2016,"Encore Karaoke, 1550 California Street",Andrew Haigh,Jonathan Groff
1338,Chance- Season 1 ep110,2016,"Cliffhouse, 1090 Point Lobos Ave.",Alexandra Cunningham and Kem Nunn,Hugh Laurie
1339,"Looking ""Special""",2016,Bernal Heights Neighborhood,Andrew Haigh,Jonathan Groff
1340,Chance- Season 1 ep103,2016,Laguna Honda Hospital,Michael Lehmann,Hugh Laurie
1341,"Murder in the First, Season 3",2016,600 Octavia Street,Steven Bochcho,Taye Diggs
